model,hier,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,2.5%,97.5%,term,lvl,variable_orig,lvl_c,term_c,trials
asce,smpl,sd,0.1555424751,0.15142850000000002,0.03919906936062883,0.03675513660000003,0.09899128000000001,0.22424424999999995,1.0003391037491094,2955.359285205323,2758.4579490876927,0.09025033,0.24321222500000006,8,1,sd_1[8],nct_id,other,27
asce,cond,b,0.1934870784115,0.1941695,0.075295801994325,0.06944869050000001,0.0663294,0.31675204999999995,1.002718620941285,944.5402189658304,1680.199263308168,0.03950987,0.34518335000000006,1,0,b[1],pop,Intercept,27
asce,cond,b,0.022749451644575,0.0224492,0.010015181562798505,0.00942081105,0.00769728,0.039664454999999994,1.003237851677792,1071.516473597693,1765.6282881636091,0.0044788975000000005,0.0431705375,2,0,b[2],pop,age10,27
asce,cond,b,-0.019608356118165,-0.0203264,0.029033923935650404,0.026125910181000002,-0.06562567,0.026888504999999997,1.0041648015709383,1882.9303532595975,2361.7539474750406,-0.07596652500000001,0.04034462000000001,3,0,b[3],pop,asian,27
asce,cond,b,0.049865881159,0.0499681,0.03136334770106208,0.027496521989999995,-0.001983813999999997,0.09843147499999998,1.0003191342526865,1839.7979655136644,2483.4119776915372,-0.015156347499999997,0.11153637500000001,4,0,b[4],pop,black,27
asce,cond,b,-0.03142558046908,-0.032165799999999994,0.01638313747026387,0.01521733227,-0.05706651,-0.003530687000000006,0.999792126567781,1189.8143018039498,1767.39117214339,-0.0613532,0.002847673500000001,5,0,b[5],pop,como_ct,27
asce,cond,b,-0.04433072239825,-0.044946200000000006,0.026807215287717644,0.023012398290000007,-0.08442313,-0.001059997500000025,1.0000891685147335,1880.1052111781287,1809.6848695649705,-0.09412307999999998,0.014219337500000045,6,0,b[6],pop,male,27
asce,cond,b,-0.0165914844458625,-0.01624285,0.07659269097802554,0.05878471934999999,-0.13951750000000002,0.09710047999999995,1.002199958846746,1950.0833126261537,1838.7043234691873,-0.1752591,0.13805320000000004,7,0,b[7],pop,nativ,27
asce,cond,b,0.0153882318678295,0.0141727,0.05948675869531729,0.05381786109,-0.077373115,0.11633884999999992,1.0016830625744841,1948.3328760826878,2129.7013155969116,-0.0992934275,0.14173280000000002,8,0,b[8],pop,other,27
asce,cond,sd,0.109667915249,0.0954334,0.08172957489090009,0.0785296155,0.009494361000000002,0.2654678,1.0043658205505048,646.8316667448656,1783.1296558111624,0.005330574,0.30950350000000004,1,1,sd_1[1],cond,Intercept,27
asce,cond,sd,0.015459962324155,0.0139093,0.010498153619293954,0.010259962650000001,0.0014583340000000001,0.03489625499999999,1.0015798593917618,789.9234569557282,1404.8013260381697,8.300736500000001e-4,0.04077731000000002,2,1,sd_1[2],cond,age10,27
asce,cond,sd,0.037124001587395,0.030540499999999998,0.03059091000877637,0.025813326209999998,0.002706674,0.09529090499999998,1.0021291382205464,1210.5906109029704,1698.93219541497,0.00135152475,0.1164778250000001,3,1,sd_1[3],cond,asian,27
asce,cond,sd,0.0351619413168525,0.026738,0.03163134142944624,0.024869984895,0.002419328,0.0961266749999998,1.0008789954222248,1907.8347978042134,1787.485540270983,0.0011048422500000003,0.119355375,4,1,sd_1[4],cond,black,27
asce,cond,sd,0.02213045462082,0.0185711,0.017256916892617484,0.015484867439999998,0.0017564260000000002,0.05411913999999998,1.002096147277873,1065.7577870602054,1794.144034803868,9.63044975e-4,0.064835205,5,1,sd_1[5],cond,como_ct,27
asce,cond,sd,0.04736011683725,0.04113845,0.031213181641865845,0.024463344780000004,0.010348739999999999,0.10121384999999988,1.0016364792529742,1123.500868855848,1273.682179444634,0.006570007000000001,0.12559000000000003,6,1,sd_1[6],cond,male,27
asce,cond,sd,0.084179546085725,0.058900850000000005,0.08550006205908474,0.05739337338,0.0054617960000000005,0.24609094999999997,1.002372232548971,1753.5380314624247,2049.0366086089366,0.0029767687500000003,0.31271650000000006,7,1,sd_1[7],cond,nativ,27
