model,nct_id,term,estimate,std.error,statistic,p.value
asce_int,NCT00609674,black,1.343e-01,1.216e-01,1.1046627547879022,0.2698402503741469
asce_int,NCT00609674,asian,2.854e-01,1.407e-01,2.028106449711601,0.04308223730509171
asce_int,NCT00609674,nativ,2.599e-01,2.660e-01,0.9769356272943827,0.329076294835017
asce_int,NCT00609674,other,1.968e-01,1.753e-01,1.1226095254975654,0.2621453898035904
asce_int,NCT00609674,male:black,-1.994e-01,1.985e-01,-1.0048819600816008,0.3154426786813674
asce_int,NCT00609674,male:asian,-1.422e-01,2.182e-01,-0.6518775374190857,0.514781515118955
asce_int,NCT00609674,male:nativ,-5.507e-01,5.317e-01,-1.035795408732642,0.30080130405578187
asce_int,NCT00609674,male:other,-3.317e-01,2.910e-01,-1.1396445396231554,0.2549833683644176
asce_int,NCT01916226,(Intercept),3.369e-01,5.157e-02,6.531769288909857,1.0498976602703423e-10
asce_int,NCT01916226,age10,2.016e-02,1.185e-02,1.7021401192573655,0.08905117983883813
asce_int,NCT01916226,como_ct,-2.470e-01,1.763e-02,-14.013917302532077,9.458882043834957e-41
asce_int,NCT01916226,male,-2.530e-02,3.186e-02,-0.793989039543494,0.42739701156038246
asce_int,NCT01916226,black,1.182e-01,4.101e-02,2.8821378396482333,0.004037463335849811
asce_int,NCT01916226,asian,-2.513e-01,1.282e-01,-1.960134840171682,0.05026746684783114
asce_int,NCT01916226,nativ,5.436e-02,4.204e-01,0.12928505689868258,0.8971590360603994
asce_int,NCT01916226,other,4.420e-02,1.180e-01,0.37466019048158183,0.7079955200394121
asce_int,NCT01916226,male:black,-1.408e-01,7.504e-02,-1.8759739328881613,0.060960537580772266
asce_int,NCT01916226,male:asian,1.902e-01,1.748e-01,1.0880279229669914,0.27685444258044306
asce_int,NCT01916226,male:nativ,-4.274e-01,5.156e-01,-0.8289682256172446,0.40732737866526736
asce_int,NCT01916226,male:other,-5.259e-02,1.910e-01,-0.2752995151988289,0.7831450712414323
asce_int,NCT00118729,(Intercept),7.529e-01,4.993e-02,15.080659413527806,3.266265165835531e-47
asce_int,NCT00118729,age10,7.697e-03,1.018e-02,0.756015940073635,0.4497871583115963
asce_int,NCT00118729,como_ct,-3.322e-01,3.787e-02,-8.770728966371182,5.933099242100397e-18
asce_int,NCT00118729,male,-1.052e-02,5.497e-02,-0.19141435024372316,0.8482331718903786
asce_int,NCT00118729,black,-1.033e-01,3.976e-02,-2.599235463591599,0.009457112780008485
asce_int,NCT00118729,asian,-6.195e-01,3.208e-01,-1.9310614623393558,0.05370939606133947
asce_int,NCT00118729,nativ,  NA,  NA,NA,NA
asce_int,NCT00118729,other,-1.132e-01,2.625e-01,-0.43111150748030264,0.66646427483229
asce_int,NCT00118729,male:black,3.969e-02,6.397e-02,0.6204078857607124,0.5351064007403094
asce_int,NCT00118729,male:asian,8.540e-01,5.548e-01,1.5393981428871297,0.1239692311529723
asce_int,NCT00118729,male:nativ,  NA,  NA,NA,NA
asce_int,NCT00118729,male:other,1.048e-01,3.487e-01,0.3006389494858193,0.7637416025604741
