model,nct_id,term,estimate,std.error,statistic,p.value
asc_int,NCT01719003,(Intercept),0.00E+00,0.00E+00,NA,NA
asc_int,NCT01719003,age10,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01719003,male,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01719003,como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01719003,age10:male,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01719003,age10:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01719003,male:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT01719003,age10:male:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT02177344,(Intercept),4.28E-01,3.91E-01,1.092899659,0.274843361
asc_int,NCT02177344,age10,-2.98E-02,5.90E-02,-0.504539911,0.614053277
asc_int,NCT02177344,male,1.67E-01,4.93E-01,0.338413876,0.735160768
asc_int,NCT02177344,como_ct,-1.25E-01,1.72E-01,-0.724305336,0.469139319
asc_int,NCT02177344,age10:male,-2.59E-02,7.43E-02,-0.349193092,0.727057618
asc_int,NCT02177344,age10:como_ct,1.94E-02,2.57E-02,0.75451055,0.450816397
asc_int,NCT02177344,male:como_ct,-4.86E-02,2.29E-01,-0.211756958,0.832363131
asc_int,NCT02177344,age10:male:como_ct,6.82E-03,3.42E-02,0.199297526,0.842092437
asc_int,NCT00856284,(Intercept),0.00E+00,0.00E+00,NA,NA
asc_int,NCT00856284,age10,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00856284,male,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00856284,como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00856284,age10:male,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00856284,age10:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00856284,male:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00856284,age10:male:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00968708,(Intercept),2.46E-01,8.14E-02,3.025810044,0.002491082
asc_int,NCT00968708,age10,-1.65E-02,1.27E-02,-1.291708145,0.196512199
asc_int,NCT00968708,male,-2.15E-01,9.72E-02,-2.208752042,0.027232737
asc_int,NCT00968708,como_ct,-6.01E-02,3.34E-02,-1.799756798,0.071953515
asc_int,NCT00968708,age10:male,2.89E-02,1.55E-02,1.870388417,0.061482664
asc_int,NCT00968708,age10:como_ct,4.86E-03,5.19E-03,0.935872559,0.349379659
asc_int,NCT00968708,male:como_ct,6.20E-02,3.95E-02,1.568886218,0.116731647
asc_int,NCT00968708,age10:male:como_ct,-8.38E-03,6.21E-03,-1.349205186,0.177326287
asc_int,NCT00670501,(Intercept),2.75E-01,1.96E-01,1.402136169,0.160992827
asc_int,NCT00670501,age10,3.20E-02,2.82E-02,1.135614014,0.256221814
asc_int,NCT00670501,male,  NA,  NA,NA,NA
asc_int,NCT00670501,como_ct,-6.90E-02,8.59E-02,-0.803439162,0.421793691
asc_int,NCT00670501,age10:male,  NA,  NA,NA,NA
asc_int,NCT00670501,age10:como_ct,2.06E-03,1.22E-02,0.169637699,0.865308144
asc_int,NCT00670501,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00670501,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00051558,(Intercept),4.43E-02,2.61E-02,1.700277829,0.089817216
asc_int,NCT00051558,age10,-1.08E-02,4.49E-03,-2.415699209,0.016129907
asc_int,NCT00051558,male,-4.43E-02,5.91E-02,-0.75013386,0.453593091
asc_int,NCT00051558,como_ct,-1.82E-02,9.53E-03,-1.913304379,0.056387068
asc_int,NCT00051558,age10:male,1.08E-02,1.01E-02,1.068365603,0.28596783
asc_int,NCT00051558,age10:como_ct,4.45E-03,1.59E-03,2.800590011,0.005335895
asc_int,NCT00051558,male:como_ct,1.82E-02,1.87E-02,0.976003958,0.329622976
asc_int,NCT00051558,age10:male:como_ct,-4.45E-03,3.16E-03,-1.407467865,0.16002658
asc_int,NCT00125918,(Intercept),0.00E+00,0.00E+00,NA,NA
asc_int,NCT00125918,age10,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00125918,male,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00125918,como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00125918,age10:male,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00125918,age10:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00125918,male:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00125918,age10:male:como_ct,0.00E+00,0.00E+00,NA,NA
asc_int,NCT00861757,(Intercept),-8.93E-02,1.43E-01,-0.623483415,0.533339964
asc_int,NCT00861757,age10,2.02E-02,2.19E-02,0.92215823,0.35702962
asc_int,NCT00861757,male,  NA,  NA,NA,NA
asc_int,NCT00861757,como_ct,1.31E-02,7.68E-02,0.170615373,0.864616776
asc_int,NCT00861757,age10:male,  NA,  NA,NA,NA
asc_int,NCT00861757,age10:como_ct,-3.40E-03,1.14E-02,-0.296617813,0.766919938
asc_int,NCT00861757,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00861757,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00384930,(Intercept),4.06E-02,5.33E-02,0.761838869,0.446713812
asc_int,NCT00384930,age10,-5.03E-03,8.42E-03,-0.596825364,0.551043371
asc_int,NCT00384930,male,  NA,  NA,NA,NA
