model,nct_id,term,estimate,std.error,statistic,p.value
asc_int,NCT00856284,como_ct,-5.79E-01,6.53E-02,-8.865335752,1.00E-18
asc_int,NCT00856284,age10:male,-1.16E-02,1.20E-02,-0.968435329,0.332867516
asc_int,NCT00856284,age10:como_ct,4.50E-02,1.11E-02,4.053479259,5.11E-05
asc_int,NCT00856284,male:como_ct,-3.14E-02,9.99E-02,-0.314592247,0.75308262
asc_int,NCT00856284,age10:male:como_ct,4.66E-04,1.71E-02,0.027188216,0.978310553
asc_int,NCT00968708,(Intercept),6.87E-01,6.49E-02,10.58121321,5.40E-26
asc_int,NCT00968708,age10,-3.70E-03,1.02E-02,-0.363840642,0.715986592
asc_int,NCT00968708,male,-9.51E-02,7.93E-02,-1.199232906,0.230472785
asc_int,NCT00968708,como_ct,-2.47E-01,3.30E-02,-7.480980009,8.16E-14
asc_int,NCT00968708,age10:male,7.50E-03,1.26E-02,0.593942855,0.552567068
asc_int,NCT00968708,age10:como_ct,4.62E-03,5.12E-03,0.90236655,0.366889253
asc_int,NCT00968708,male:como_ct,-4.46E-04,3.95E-02,-0.011298687,0.990985424
asc_int,NCT00968708,age10:male:como_ct,3.37E-03,6.21E-03,0.542152611,0.587728424
asc_int,NCT00670501,(Intercept),4.20E-01,1.89E-01,2.221120548,0.026426389
asc_int,NCT00670501,age10,1.58E-02,2.72E-02,0.582434499,0.560323228
asc_int,NCT00670501,male,  NA,  NA,NA,NA
asc_int,NCT00670501,como_ct,-1.32E-01,8.33E-02,-1.581067207,0.113981117
asc_int,NCT00670501,age10:male,  NA,  NA,NA,NA
asc_int,NCT00670501,age10:como_ct,9.33E-03,1.18E-02,0.790316711,0.429413016
asc_int,NCT00670501,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00670501,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00051558,(Intercept),7.76E-01,7.16E-02,10.8266184,2.26E-25
asc_int,NCT00051558,age10,-4.87E-05,1.23E-02,-0.003978319,0.996826896
asc_int,NCT00051558,male,-7.81E-02,1.81E-01,-0.433010909,0.665139472
asc_int,NCT00051558,como_ct,-3.23E-01,3.47E-02,-9.288770886,1.91E-19
asc_int,NCT00051558,age10:male,1.76E-02,3.05E-02,0.575328431,0.56525303
asc_int,NCT00051558,age10:como_ct,1.49E-02,5.76E-03,2.590316878,0.009787161
asc_int,NCT00051558,male:como_ct,1.27E-01,7.13E-02,1.777649159,0.075893107
asc_int,NCT00051558,age10:male:como_ct,-1.67E-02,1.19E-02,-1.394516024,0.163601718
asc_int,NCT00670319,(Intercept),-2.85E-02,3.63E-02,-0.785516581,0.432181196
asc_int,NCT00670319,age10,1.99E-02,5.42E-03,3.678414642,2.37E-04
asc_int,NCT00670319,male,  NA,  NA,NA,NA
asc_int,NCT00670319,como_ct,  NA,  NA,NA,NA
asc_int,NCT00670319,age10:male,  NA,  NA,NA,NA
asc_int,NCT00670319,age10:como_ct,  NA,  NA,NA,NA
asc_int,NCT00670319,male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00670319,age10:male:como_ct,  NA,  NA,NA,NA
asc_int,NCT00125918,(Intercept),8.17E-01,2.07E-02,39.42220765,1.32E-149
asc_int,NCT00125918,age10,-1.49E-01,4.65E-03,-32.09966355,1.68E-119
asc_int,NCT00125918,male,-1.61E-03,4.21E-02,-0.038216646,0.969531529
