NCT ID,Randomised,N,Age,Male,Comorbidity count,Comorbidity count total,Comorbidity count 0,Comorbidity count 1,Comorbidity count >= 2,White,Asian,Black,Native,Other
NCT00289198,No,267,41.6 (16.7),120 (44.9%),0.29 (0.68),78,213,37,17,233 (87.3%),16 (6%),11 (4.1%),0 (0%),7 (2.6%)
NCT00402233,Yes,311,62 (10),207 (66.6%),NA (NA),,,,,,,,,
NCT00402233,No,12,73 (5),8 (66.7%),NA (NA),,,,,,,,,
NCT00428090,Yes,580,72.4 (8.3),216 (37.2%),0.67 (0.99),391,349,120,111,418 (72.1%),143 (24.7%),8 (1.4%),0 (0%),11 (1.9%)
NCT00428090,No,58,74.7 (8.5),19 (32.8%),0.79 (1.07),46,33,11,14,42 (72.4%),13 (22.4%),1 (1.7%),0 (0%),2 (3.4%)
NCT00466167,Yes,518,61 (10),285 (55%),0.89 (1.05),463,237,161,120,260 (50.2%),258 (49.8%),0 (0%),0 (0%),0 (0%)
NCT00466167,No,99,68 (11),36 (36.4%),1.13 (1.17),112,37,30,32,42 (42.4%),57 (57.6%),0 (0%),0 (0%),0 (0%)
NCT00472199,Yes,331,57 (12),133 (40.2%),1.4 (1.23),465,84,110,137,,,,,
NCT00472199,No,166,56 (15),51 (30.7%),1.15 (1.17),191,60,53,53,,,,,
NCT00479401,Yes,539,62 (10),299 (55.5%),1.21 (1.25),654,191,161,187,342 (63.5%),197 (36.5%),0 (0%),0 (0%),0 (0%)
NCT00479401,No,60,69 (8),30 (50%),1.2 (1.16),72,21,17,22,28 (46.7%),32 (53.3%),0 (0%),0 (0%),0 (0%)
NCT00609674,Yes,315,38.7 (14.6),102 (32.4%),NA (NA),,,,,289 (91.7%),7 (2.2%),14 (4.4%),0 (0%),5 (1.6%)
NCT00609674,No,194,36.8 (14.9),78 (40.2%),NA (NA),,,,,167 (86.1%),12 (6.2%),10 (5.2%),0 (0%),5 (2.6%)
NCT00670319,Yes,8459,67 (7),0 (0%),NA (NA),,,,,8086 (95.6%),161 (1.9%),31 (0.4%),0 (0%),181 (2.1%)
NCT00670319,No,2443,67 (7),0 (0%),NA (NA),,,,,2326 (95.2%),38 (1.6%),10 (0.4%),0 (0%),69 (2.8%)
NCT00670501,Yes,2088,69 (7),0 (0%),2.35 (1.19),4905,3,565,1520,2031 (97.3%),0 (0%),0 (0%),0 (0%),57 (2.7%)
